2018-05-16 08:12:25 status half-installed libselinux1:amd64 2.6-3+b3
2018-05-16 08:12:25 status unpacked libselinux1:amd64 2.6-3+b3
2018-05-16 08:12:25 status unpacked libselinux1:amd64 2.6-3+b3
2018-05-16 08:12:25 install liblz4-1:amd64 <none> 0.0~r131-2+b1
2018-05-16 08:12:25 status half-installed liblz4-1:amd64 0.0~r131-2+b1
2018-05-16 08:12:25 status unpacked liblz4-1:amd64 0.0~r131-2+b1
2018-05-16 08:12:25 status unpacked liblz4-1:amd64 0.0~r131-2+b1
2018-05-16 08:12:25 upgrade libc6:amd64 2.24-11+deb9u1 2.24-11+deb9u1
2018-05-16 08:12:25 status half-configured libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:25 status unpacked libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:25 status half-installed libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:26 status half-installed libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:26 status unpacked libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:26 status unpacked libc6:amd64 2.24-11+deb9u1
2018-05-16 08:12:26 install libtext-iconv-perl:amd64 <none> 1.7-5+b4
2018-05-16 08:12:26 status half-installed libtext-iconv-perl:amd64 1.7-5+b4
2018-05-16 08:12:26 status unpacked libtext-iconv-perl:amd64 1.7-5+b4
2018-05-16 08:12:26 status unpacked libtext-iconv-perl:amd64 1.7-5+b4
2018-05-16 08:12:26 install libsystemd0:amd64 <none> 232-25+deb9u2
2018-05-16 08:12:26 status half-installed libsystemd0:amd64 232-25+deb9u2
2018-05-16 08:12:26 status unpacked libsystemd0:amd64 232-25+deb9u2
2018-05-16 08:12:26 status unpacked libsystemd0:amd64 232-25+deb9u2
2018-05-16 08:12:26 install libpam0g:amd64 <none> 1.1.8-3.6
2018-05-16 08:12:26 status half-installed libpam0g:amd64 1.1.8-3.6
2018-05-16 08:12:26 status unpacked libpam0g:amd64 1.1.8-3.6
2018-05-16 08:12:26 status unpacked libpam0g:amd64 1.1.8-3.6
2018-05-16 08:12:26 install libsepol1:amd64 <none> 2.6-2
2018-05-16 08:12:26 status half-installed libsepol1:amd64 2.6-2
2018-05-16 08:12:26 status unpacked libsepol1:amd64 2.6-2
2018-05-16 08:12:26 status unpacked libsepol1:amd64 2.6-2
2018-05-16 08:12:26 install liblocale-gettext-perl:amd64 <none> 1.07-3+b1
2018-05-16 08:12:26 status half-installed liblocale-gettext-perl:amd64 1.07-3+b1
2018-05-16 08:12:26 status unpacked liblocale-gettext-perl:amd64 1.07-3+b1
2018-05-16 08:12:26 status unpacked liblocale-gettext-perl:amd64 1.07-3+b1
2018-05-16 08:12:26 install libgpg-error0:amd64 <none> 1.26-2
2018-05-16 08:12:26 status half-installed libgpg-error0:amd64 1.26-2
2018-05-16 08:12:26 status unpacked libgpg-error0:amd64 1.26-2
2018-05-16 08:12:26 status unpacked libgpg-error0:amd64 1.26-2
2018-05-16 08:12:26 install gcc-6-base:amd64 <none> 6.3.0-18+deb9u1
2018-05-16 08:12:26 status half-installed gcc-6-base:amd64 6.3.0-18+deb9u1
2018-05-16 08:12:26 status unpacked gcc-6-base:amd64 6.3.0-18+deb9u1
2018-05-16 08:12:26 status unpacked gcc-6-base:amd64 6.3.0-18+deb9u1
2018-05-16 08:12:26 upgrade perl-base:amd64 5.24.1-3+deb9u3 5.24.1-3+deb9u3
2018-05-16 08:12:26 status half-configured perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:26 status unpacked perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:26 status half-installed perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:26 status half-installed perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:26 status unpacked perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:26 status unpacked perl-base:amd64 5.24.1-3+deb9u3
2018-05-16 08:12:26 install hostname:amd64 <none> 3.18+b1
2018-05-16 08:12:26 status half-installed hostname:amd64 3.18+b1
2018-05-16 08:12:26 status unpacked hostname:amd64 3.18+b1
2018-05-16 08:12:26 status unpacked hostname:amd64 3.18+b1
2018-05-16 08:12:26 install libsemanage1:amd64 <none> 2.6-2
2018-05-16 08:12:26 status half-installed libsemanage1:amd64 2.6-2
2018-05-16 08:12:26 status unpacked libsemanage1:amd64 2.6-2
2018-05-16 08:12:26 status unpacked libsemanage1:amd64 2.6-2
2018-05-16 08:12:26 install libgcrypt20:amd64 <none> 1.7.6-2+deb9u2
2018-05-16 08:12:26 status half-installed libgcrypt20:amd64 1.7.6-2+deb9u2
2018-05-16 08:12:26 status unpacked libgcrypt20:amd64 1.7.6-2+deb9u2
2018-05-16 08:12:26 status unpacked libgcrypt20:amd64 1.7.6-2+deb9u2
2018-05-16 08:12:26 install libustr-1.0-1:amd64 <none> 1.0.4-6
2018-05-16 08:12:26 status half-installed libustr-1.0-1:amd64 1.0.4-6
2018-05-16 08:12:26 status unpacked libustr-1.0-1:amd64 1.0.4-6
2018-05-16 08:12:26 status unpacked libustr-1.0-1:amd64 1.0.4-6
2018-05-16 08:12:26 install ncurses-bin:amd64 <none> 6.0+20161126-1+deb9u2
2018-05-16 08:12:26 status half-installed ncurses-bin:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:26 status unpacked ncurses-bin:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:26 status unpacked ncurses-bin:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:26 install tzdata:all <none> 2018c-0+deb9u1
2018-05-16 08:12:26 status half-installed tzdata:all 2018c-0+deb9u1
2018-05-16 08:12:26 status unpacked tzdata:all 2018c-0+deb9u1
2018-05-16 08:12:26 status unpacked tzdata:all 2018c-0+deb9u1
2018-05-16 08:12:26 install lsb-base:all <none> 9.20161125
2018-05-16 08:12:26 status half-installed lsb-base:all 9.20161125
2018-05-16 08:12:26 status unpacked lsb-base:all 9.20161125
2018-05-16 08:12:26 status unpacked lsb-base:all 9.20161125
2018-05-16 08:12:26 install libpcre3:amd64 <none> 2:8.39-3
2018-05-16 08:12:26 status half-installed libpcre3:amd64 2:8.39-3
2018-05-16 08:12:27 status unpacked libpcre3:amd64 2:8.39-3
2018-05-16 08:12:27 status unpacked libpcre3:amd64 2:8.39-3
2018-05-16 08:12:27 install libpam-runtime:all <none> 1.1.8-3.6
2018-05-16 08:12:27 status half-installed libpam-runtime:all 1.1.8-3.6
2018-05-16 08:12:27 status unpacked libpam-runtime:all 1.1.8-3.6
2018-05-16 08:12:27 status unpacked libpam-runtime:all 1.1.8-3.6
2018-05-16 08:12:27 install coreutils:amd64 <none> 8.26-3
2018-05-16 08:12:27 status half-installed coreutils:amd64 8.26-3
2018-05-16 08:12:32 status unpacked coreutils:amd64 8.26-3
2018-05-16 08:12:32 status unpacked coreutils:amd64 8.26-3
2018-05-16 08:12:32 install libblkid1:amd64 <none> 2.29.2-1+deb9u1
2018-05-16 08:12:32 status half-installed libblkid1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:32 status unpacked libblkid1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:32 status unpacked libblkid1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:32 install libpam-modules-bin:amd64 <none> 1.1.8-3.6
2018-05-16 08:12:32 status half-installed libpam-modules-bin:amd64 1.1.8-3.6
2018-05-16 08:12:32 status unpacked libpam-modules-bin:amd64 1.1.8-3.6
2018-05-16 08:12:33 status unpacked libpam-modules-bin:amd64 1.1.8-3.6
2018-05-16 08:12:33 install bash:amd64 <none> 4.4-5
2018-05-16 08:12:33 status half-installed bash:amd64 4.4-5
2018-05-16 08:12:36 status unpacked bash:amd64 4.4-5
2018-05-16 08:12:36 status unpacked bash:amd64 4.4-5
2018-05-16 08:12:36 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2018-05-16 08:12:36 status half-configured mawk:amd64 1.3.3-17+b3
2018-05-16 08:12:36 status unpacked mawk:amd64 1.3.3-17+b3
2018-05-16 08:12:36 status half-installed mawk:amd64 1.3.3-17+b3
2018-05-16 08:12:37 status half-installed mawk:amd64 1.3.3-17+b3
2018-05-16 08:12:37 status unpacked mawk:amd64 1.3.3-17+b3
2018-05-16 08:12:37 status unpacked mawk:amd64 1.3.3-17+b3
2018-05-16 08:12:37 install libcomerr2:amd64 <none> 1.43.4-2
2018-05-16 08:12:37 status half-installed libcomerr2:amd64 1.43.4-2
2018-05-16 08:12:37 status unpacked libcomerr2:amd64 1.43.4-2
2018-05-16 08:12:37 status unpacked libcomerr2:amd64 1.43.4-2
2018-05-16 08:12:37 install diffutils:amd64 <none> 1:3.5-3
2018-05-16 08:12:37 status half-installed diffutils:amd64 1:3.5-3
2018-05-16 08:12:37 status unpacked diffutils:amd64 1:3.5-3
2018-05-16 08:12:37 status unpacked diffutils:amd64 1:3.5-3
2018-05-16 08:12:37 install libpam-modules:amd64 <none> 1.1.8-3.6
2018-05-16 08:12:37 status half-installed libpam-modules:amd64 1.1.8-3.6
2018-05-16 08:12:37 status unpacked libpam-modules:amd64 1.1.8-3.6
2018-05-16 08:12:37 status unpacked libpam-modules:amd64 1.1.8-3.6
2018-05-16 08:12:37 install libmount1:amd64 <none> 2.29.2-1+deb9u1
2018-05-16 08:12:37 status half-installed libmount1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:37 status unpacked libmount1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:37 status unpacked libmount1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:37 install xz-utils:amd64 <none> 5.2.2-1.2+b1
2018-05-16 08:12:37 status half-installed xz-utils:amd64 5.2.2-1.2+b1
2018-05-16 08:12:37 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2018-05-16 08:12:37 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2018-05-16 08:12:37 install init-system-helpers:all <none> 1.48
2018-05-16 08:12:37 status half-installed init-system-helpers:all 1.48
2018-05-16 08:12:37 status unpacked init-system-helpers:all 1.48
2018-05-16 08:12:37 status unpacked init-system-helpers:all 1.48
